titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0000001	1	ÐšÐ°Ñ€Ð¼ÐµÐ½Ñ?Ñ–Ñ‚Ð°	UA	\N	imdbDisplay	\N	0
tt0000001	2	Carmencita	DE	\N	\N	literal title	0
tt0000001	3	Carmencita - spanyol tÃ¡nc	HU	\N	imdbDisplay	\N	0
tt0000001	4	ÎšÎ±Ï?Î¼ÎµÎ½ÏƒÎ¯Ï„Î±	GR	\N	imdbDisplay	\N	0
tt0000001	5	ÐšÐ°Ñ€Ð¼ÐµÐ½Ñ?Ð¸Ñ‚Ð°	RU	\N	imdbDisplay	\N	0
tt0000001	6	Carmencita	US	\N	imdbDisplay	\N	0
tt0000001	7	Carmencita	\N	\N	original	\N	1
tt0000001	8	ã‚«ãƒ«ãƒ¡ãƒ³ãƒ?ãƒ¼ã‚¿	JP	ja	imdbDisplay	\N	0
tt0000002	1	Le clown et ses chiens	\N	\N	original	\N	1
tt0000002	2	Le clown et ses chiens	FR	\N	imdbDisplay	\N	0
